@relation challenge-newbies-2018-w4p2

@attribute slide0 {Zero,One}
@attribute slide1 {One,Zero}
@attribute slide2 {One,Zero}
@attribute slide3 {One,Zero,class2,class0,class1}
@attribute slide4 {class2,class0,class1,Zero,One}
@attribute slide5 {class2,class0,class1,Zero,One}
@attribute slide6 {One,Zero,class0,class1,class2}
@attribute slide7 {One,Zero,class2,class0,class1}
@attribute slide8 {One,Zero,class0,class2,class1}
@attribute slide9 {One,Zero}
@attribute slide10 {One,Zero,class0,class2,class1}
@attribute slide11 {class2,class1,class0,Zero,One}
@attribute slide12 {class0,class2,class1,Zero,One}
@attribute slide13 {Zero,One}
@attribute slide14 {class0,class2,class1,Zero}
@attribute slide15 {Zero}
@attribute slide16 {Zero}
@attribute slide17 {Zero}
@attribute slide18 {Zero}
@attribute slide19 {Zero}
@attribute slide20 {Zero}
@attribute slide21 {class2,class0,class1,Zero}
@attribute slide22 {Zero}
@attribute slide23 {Zero}
@attribute slide24 {Zero}
@attribute Outcome {class0,class2,class1}

@data
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
One,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,One,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,Zero,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class1,One,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,Zero,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,Zero,Zero,class2,class2,One,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class1,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,Zero,Zero,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,One,class2,class2,One,One,Zero,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
One,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,Zero,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,Zero,Zero,class0,class1,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class1,One,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,Zero,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,Zero,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,Zero,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,Zero,class2,class0,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,One,class2,class2,One,One,One,One,One,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class0,class0,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,One,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class1,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,Zero,One,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,Zero,class2,class2,Zero,Zero,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,One,class2,class2,One,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,Zero,One,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,Zero,Zero,class2,class2,One,Zero,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,Zero,class2,class2,One,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,One,class2,class2,One,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
One,One,Zero,Zero,class2,class1,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,One,One,One,One,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,One,class2,class1,One,One,One,One,One,class1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,One,class2,class2,One,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,Zero,class2,class2,One,One,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,Zero,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,One,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,Zero,class2,class2,One,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,Zero,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,One,One,One,One,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,One,One,One,class2,class2,One,One,One,One,One,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class2,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class2,Zero,Zero,Zero,Zero,Zero,class2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zero,Zero,Zero,Zero,class0,class0,Zero,Zero,Zero,Zero,Zero,class0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
